date,ture_value,l_1-N_[2]_b_102/200,per_b_102/200,l_1-N_[2]_opt_199/200,per_opt_199/200,last_199/200,last_per_199/200,overall_opt_199/200,overall_opt_per_199/200
2018-06-05,5.71,5.734614446525476,0.43%,5.724463095344936,0.25%,5.724463095344936,0.25%,5.724463095344936,0.25%
2018-06-06,5.65,5.749797154973552,1.77%,5.737750980697958,1.55%,5.737750980697958,1.55%,5.737750980697958,1.55%
2018-06-07,5.69,5.68560654882982,0.08%,5.6750279069180225,0.26%,5.6750279069180225,0.26%,5.6750279069180225,0.26%
2018-06-08,5.59,5.7153917333739495,2.24%,5.708069704446247,2.11%,5.708069704446247,2.11%,5.708069704446247,2.11%
2018-06-11,5.58,5.61888357895362,0.70%,5.610445303052107,0.55%,5.610445303052107,0.55%,5.610445303052107,0.55%
2018-06-12,5.61,5.633606160970947,0.42%,5.6170630347366854,0.13%,5.6170630347366854,0.13%,5.6170630347366854,0.13%
2018-06-13,5.57,5.642999280684695,1.31%,5.633270660304704,1.14%,5.633270660304704,1.14%,5.633270660304704,1.14%
2018-06-14,5.61,5.593750448528609,0.29%,5.586871715832042,0.41%,5.586871715832042,0.41%,5.586871715832042,0.41%
2018-06-15,5.71,5.642764189417459,1.18%,5.633086222916417,1.35%,5.633086222916417,1.35%,5.633086222916417,1.35%
2018-06-19,5.730000000000001,5.738503681209138,0.15%,5.730408625529315,0.01%,5.730408625529315,0.01%,5.730408625529315,0.01%
2018-06-20,5.7,5.761614691413281,1.08%,5.7524761949573,0.92%,5.7524761949573,0.92%,5.7524761949573,0.92%
2018-06-21,5.68,5.853259585967991,3.05%,5.806651186390674,2.23%,5.806651186390674,2.23%,5.806651186390674,2.23%
2018-06-22,5.66,5.712717780876485,0.93%,5.703209461178011,0.76%,5.703209461178011,0.76%,5.703209461178011,0.76%
2018-06-25,5.54,5.680572425426479,2.54%,5.67463166418223,2.43%,5.67463166418223,2.43%,5.67463166418223,2.43%
2018-06-26,5.42,5.568051825830815,2.73%,5.5599462646620745,2.58%,5.5599462646620745,2.58%,5.5599462646620745,2.58%
date,ture_value,l_1-N_[2]_b_335/500,per_b_335/500,l_1-N_[2]_opt_335/500,per_opt_335/500,last_499/500,last_per_499/500,overall_opt_499/500,overall_opt_per_499/500
2018-06-05,5.71,5.718709570482299,0.15%,5.718709570482299,0.15%,5.715256231499244,0.09%,5.715256231499244,0.09%
2018-06-06,5.65,5.731001084780677,1.43%,5.731001084780677,1.43%,5.726986491276931,1.36%,5.726986491276931,1.36%
2018-06-07,5.69,5.66906712601419,0.37%,5.66906712601419,0.37%,5.665505566939493,0.43%,5.665505566939493,0.43%
2018-06-08,5.59,5.7039043904496625,2.04%,5.7039043904496625,2.04%,5.701395197867713,1.99%,5.701395197867713,1.99%
2018-06-11,5.58,5.605658684348946,0.46%,5.605658684348946,0.46%,5.602782566908919,0.41%,5.602782566908919,0.41%
2018-06-12,5.61,5.607831544550271,0.04%,5.607831544550271,0.04%,5.602365574011408,0.14%,5.602365574011408,0.14%
2018-06-13,5.57,5.627776912823068,1.04%,5.627776912823068,1.04%,5.624488386171696,0.98%,5.624488386171696,0.98%
2018-06-14,5.61,5.5829661340359245,0.48%,5.5829661340359245,0.48%,5.580616585626364,0.52%,5.580616585626364,0.52%
2018-06-15,5.71,5.6276165550707535,1.44%,5.6276165550707535,1.44%,5.62434022757311,1.50%,5.62434022757311,1.50%
2018-06-19,5.730000000000001,5.725769576961786,0.07%,5.725769576961786,0.07%,5.72296006315719,0.12%,5.72296006315719,0.12%
2018-06-20,5.7,5.747261009724795,0.83%,5.747261009724795,0.83%,5.744113388736478,0.77%,5.744113388736478,0.77%
2018-06-21,5.68,5.779975629070539,1.76%,5.779975629070539,1.76%,5.763969072255734,1.48%,5.763969072255734,1.48%
2018-06-22,5.66,5.697820773803309,0.67%,5.697820773803309,0.67%,5.69458628039661,0.61%,5.69458628039661,0.61%
2018-06-25,5.54,5.671259658994467,2.37%,5.671259658994467,2.37%,5.669230712857122,2.33%,5.669230712857122,2.33%
2018-06-26,5.42,5.555333004694386,2.50%,5.555333004694386,2.50%,5.552553885237431,2.45%,5.552553885237431,2.45%
date,ture_value,l_1-N_[2]_b_335/1000,per_b_335/1000,l_1-N_[2]_opt_335/1000,per_opt_335/1000,last_999/1000,last_per_999/1000,overall_opt_999/1000,overall_opt_per_999/1000
2018-06-05,5.71,5.718709570482299,0.15%,5.718709570482299,0.15%,5.710709728013692,0.01%,5.710709728013692,0.01%
2018-06-06,5.65,5.731001084780677,1.43%,5.731001084780677,1.43%,5.721756587648732,1.27%,5.721756587648732,1.27%
2018-06-07,5.69,5.66906712601419,0.37%,5.66906712601419,0.37%,5.660840540657665,0.51%,5.660840540657665,0.51%
2018-06-08,5.59,5.7039043904496625,2.04%,5.7039043904496625,2.04%,5.698075469507635,1.93%,5.698075469507635,1.93%
2018-06-11,5.58,5.605658684348946,0.46%,5.605658684348946,0.46%,5.598989676533437,0.34%,5.598989676533437,0.34%
2018-06-12,5.61,5.607831544550271,0.04%,5.607831544550271,0.04%,5.595289853330865,0.26%,5.595289853330865,0.26%
2018-06-13,5.57,5.627776912823068,1.04%,5.627776912823068,1.04%,5.620171459580507,0.90%,5.620171459580507,0.90%
2018-06-14,5.61,5.5829661340359245,0.48%,5.5829661340359245,0.48%,5.577512382916073,0.58%,5.577512382916073,0.58%
2018-06-15,5.71,5.6276165550707535,1.44%,5.6276165550707535,1.44%,5.620035857069834,1.58%,5.620035857069834,1.58%
2018-06-19,5.730000000000001,5.725769576961786,0.07%,5.725769576961786,0.07%,5.719221812522093,0.19%,5.719221812522093,0.19%
2018-06-20,5.7,5.747261009724795,0.83%,5.747261009724795,0.83%,5.73994233892984,0.70%,5.73994233892984,0.70%
2018-06-21,5.68,5.779975629070539,1.76%,5.779975629070539,1.76%,5.743067162696756,1.11%,5.743067162696756,1.11%
2018-06-22,5.66,5.697820773803309,0.67%,5.697820773803309,0.67%,5.6903274578344805,0.54%,5.6903274578344805,0.54%
2018-06-25,5.54,5.671259658994467,2.37%,5.671259658994467,2.37%,5.666548307131407,2.28%,5.666548307131407,2.28%
2018-06-26,5.42,5.555333004694386,2.50%,5.555333004694386,2.50%,5.548878190607485,2.38%,5.548878190607485,2.38%
date,ture_value,l_1-N_[3]_b_67/200,per_b_67/200,l_1-N_[3]_opt_87/200,per_opt_87/200,last_199/200,last_per_199/200,overall_opt_199/200,overall_opt_per_199/200
2018-06-05,5.71,5.749015637852141,0.68%,5.742896481443298,0.58%,5.728123083726027,0.32%,5.728123083726027,0.32%
2018-06-06,5.65,5.749806976208639,1.77%,5.744687199140955,1.68%,5.732455330376482,1.46%,5.732455330376482,1.46%
2018-06-07,5.69,5.695620045115464,0.10%,5.689870715451064,0.00%,5.676037801666734,0.25%,5.676037801666734,0.25%
2018-06-08,5.59,5.74476226118418,2.77%,5.737957934223659,2.65%,5.721504739309015,2.35%,5.721504739309015,2.35%
2018-06-11,5.58,5.639368716129716,1.06%,5.633183904154835,0.95%,5.618267843151096,0.69%,5.618267843151096,0.69%
2018-06-12,5.61,5.61525557825294,0.09%,5.610703329565105,0.01%,5.59984515010092,0.18%,5.59984515010092,0.18%
